arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2504.17930,"Optimized Approaches to Malware Detection: A Study of Machine Learning and Deep Learning Techniques","Abrar Fahim, Shamik Dey, Md. Nurul Absur, Md Kamrul Siam, Md. Tahmidul Huque, Jafreen Jafor Godhuli","2025-04-24",9,"Not specified",7.5,"DNN-based malware detection achieving 99.92% training accuracy. Feature selection optimization improves detection on Kaggle dataset."
2505.07574,"Security through the Eyes of AI: How Visualization is Shaping Malware Detection","Matteo Brosolo, Asmitha K. A., Mauro Conti, Rafidha Rehiman K. A., Muhammed Shafi K. P., Serena Nicolazzo, Antonino Nocera, Vinod P","2025-05-12, v4 2025-10-08",22,"Not specified",7.0,"Survey of visualization-based malware detection across platforms (desktop, mobile, IoT). Analyzes 100+ research articles, proposes evaluation framework."
2506.00281,"Adversarial Threat Vectors and Risk Mitigation for Retrieval-Augmented Generation Systems","Chris M. Ward, Josh Harguess","2025-05-30",18,"Not specified",8.0,"Identifies prompt injection, data poisoning, and adversarial manipulation attacks on RAG systems. Proposes risk management framework with control mitigation."
2506.04572,"Demonstrations of Integrity Attacks in Multi-Agent Systems","Can Zheng, Yuhan Cao, Xiaoning Dong, Tianxing He","2025-06-05",14,"Not specified",8.0,"Shows multi-agent LLM integrity attacks bypass GPT-4o and o3-mini monitors. Demonstrates Scapegoater, Boaster, Self-Dealer, Free-Rider attack patterns."
2507.06850,"The Dark Side of LLMs: Agent-based Attacks for Complete Computer Takeover","Matteo Lupinacci, Francesco Aurelio Pironti, Francesco Blefari, Francesco Romeo, Luigi Arena, Angelo Furfaro","2025-07-09, v5 2025-11-04",16,"Not specified",9.0,"100% of LLMs vulnerable to inter-agent trust exploitation attacks. 94.4% vulnerable to direct prompt injection, 83.3% to RAG backdoor attacks."
2507.21096,"HexaMorphHash (HMH): Homomorphic Hashing for Secure and Efficient Cryptographic Operations in Data Integrity Verification","Krishnendu Das","2025-07-01",8,"Not specified",8.0,"Lattice-based homomorphic hash with constant-time incremental updates. Quantum-resistant, scalable for distributed systems."
2508.20444,"Ransomware 3.0: Self-Composing and LLM-Orchestrated","Md Raz, Meet Udeshi, P.V. Sai Charan, Prashanth Krishnamurthy, Farshad Khorrami, Ramesh Karri","2025-08-28",18,"Not specified",9.5,"LLM-autonomous ransomware with runtime code synthesis from natural language prompts. Tested across personal, enterprise, embedded systems."
2509.20166,"CyberSOCEval: Benchmarking LLMs Capabilities for Malware Analysis and Threat Intelligence Reasoning","Lauren Deason et al. (23 authors)","2025-09-24, v2 2025-11-10",22,"Not specified",8.5,"Open-source benchmark for LLM security capabilities. Larger models perform better, current LLMs far from saturation on cybersecurity tasks."
2510.18324,"CryptoGuard: Lightweight Hybrid Detection and Response to Host-based Cryptojackers in Linux Cloud Environments","Gyeonghoon Park, Jaehan Kim, Jinu Choi, Jinwoo Kim","2025-10-21",15,"Not specified",8.0,"Linux cryptomining malware detection using sketch-based syscall monitoring and deep learning. 0.06% CPU overhead, eBPF-based evasion response."
2511.01583,"Federated Cyber Defense: Privacy-Preserving Ransomware Detection Across Distributed Systems","Daniel M. Jimenez-Gutierrez, Enrique Zuazua, Joaquin Del Rio, Oleksii Sliusarenko, Xabi Uribe-Etxebarria","2025-11-03",12,"Not specified",9.0,"Federated learning for collaborative ransomware detection. 9% accuracy improvement over server-local models, maintains data privacy."
