query_name|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
Query 1: Backup Optimization with ML/AI|2512.15072v1|Jin-Tian Zhang; Shuang-Quan Ma; Jing-Yi-Ran Jin|Quantum Batteries in Coherent Ising Machine|2025|130|With intensive studies of quantum thermodynamics, the quantum batteries (QBs) have been proposed to store and transfer energy via quantum effects. Des...|https://arxiv.org/abs/2512.15072v1|Yes
Query 1: Backup Optimization with ML/AI|2503.18975v3|Dilshod Nematov; Mirabbos Hojamberdiev|Machine Learning - Driven Materials Discovery: Unlocking Next-Generation Functional Materials - A review|2025|130|The rapid advancement of machine learning and artificial intelligence (AI)-driven techniques is revolutionizing materials discovery, property predicti...|https://arxiv.org/abs/2503.18975v3|Yes
Query 1: Backup Optimization with ML/AI|2506.07411v1|Ze Yang; Yihong Jin; Juntian Liu|An Intelligent Fault Self-Healing Mechanism for Cloud AI Systems via Integration of Large Language Models and Deep Reinforcement Learning|2025|130|As the scale and complexity of cloud-based AI systems continue to increase, the detection and adaptive recovery of system faults have become the core ...|https://arxiv.org/abs/2506.07411v1|Yes
Query 1: Backup Optimization with ML/AI|2506.22995v1|Davide Salaorni; Federico Bianchi; Francesco Trovò|A Reinforcement Learning Approach for Optimal Control in Microgrids|2025|130|The increasing integration of renewable energy sources (RESs) is transforming traditional power grid networks, which require new approaches for managi...|https://arxiv.org/abs/2506.22995v1|Yes
Query 1: Backup Optimization with ML/AI|2508.08887v1|Vatsala Upadhyay; J. Kokila; Abhishek Vaish|A Dual Framework for Optimized Data Storage and Retrieval using Lightweight Python Blockchain and Scalable Smart Contracts with IPFS|2025|130|The exponential growth of IoT data demands efficient, secure, and scalable storage solutions on one hand, and efficient data migration and retrieval o...|https://arxiv.org/abs/2508.08887v1|Yes
Query 1: Backup Optimization with ML/AI|2504.03682v1|Yuqing Wang; Xiao Yang|Intelligent Resource Allocation Optimization for Cloud Computing via Machine Learning|2025|130|With the rapid expansion of cloud computing applications, optimizing resource allocation has become crucial for improving system performance and cost ...|https://arxiv.org/abs/2504.03682v1|Yes
Query 1: Backup Optimization with ML/AI|2511.11603v1|Deep Bodra; Sushil Khairnar|Machine learning-based cloud resource allocation algorithms: a comprehensive comparative review|2025|130|Cloud resource allocation has emerged as a major challenge in modern computing environments, with organizations struggling to manage complex, dynamic ...|https://arxiv.org/abs/2511.11603v1|Yes
Query 1: Backup Optimization with ML/AI|2503.04088v3|Yuqing Wang; Xiao Yang|Cloud Computing Energy Consumption Prediction Based on Kernel Extreme Learning Machine Algorithm Improved by Vector Weighted Average Algorithm|2025|130|With the rapid expansion of cloud computing infrastructure, energy consumption has become a critical challenge, driving the need for accurate and effi...|https://arxiv.org/abs/2503.04088v3|Yes
Query 1: Backup Optimization with ML/AI|2505.10117v2|JieHao Wu; Ziwei Wang; Junjie Sheng|Learning Virtual Machine Scheduling in Cloud Computing through Language Agents|2025|130|In cloud services, virtual machine (VM) scheduling is a typical Online Dynamic Multidimensional Bin Packing (ODMBP) problem, characterized by large-sc...|https://arxiv.org/abs/2505.10117v2|Yes
Query 1: Backup Optimization with ML/AI|2508.08910v1|Bin Ren; Xiaoshui Huang; Mengyuan Liu|Masked Clustering Prediction for Unsupervised Point Cloud Pre-training|2025|130|Vision transformers (ViTs) have recently been widely applied to 3D point cloud understanding, with masked autoencoding as the predominant pre-training...|https://arxiv.org/abs/2508.08910v1|Yes
Query 1: Backup Optimization with ML/AI|2512.15022v1|Jianhao Xu|Machine learning-based prediction of magnet errors in storage ring light sources|2025|130|Magnet errors in storage rings significantly degrade beam performance, impacting the brightness and stability of the light source. Therefore, beam-bas...|https://arxiv.org/abs/2512.15022v1|Yes
Query 1: Backup Optimization with ML/AI|2501.12678v1|Ryan A. Robinett; Lorenzo Orecchia; Samantha J. Riesenfeld|Manifold learning and optimization using tangent space proxies|2025|130|We present a framework for efficiently approximating differential-geometric primitives on arbitrary manifolds via construction of an atlas graph repre...|https://arxiv.org/abs/2501.12678v1|Yes
Query 1: Backup Optimization with ML/AI|2502.11644v1|Habib Larian; Faramarz Safi-Esfahani|InTec: integrated things-edge computing: a framework for distributing machine learning pipelines in edge AI systems|2025|130|With the rapid expansion of the Internet of Things (IoT), sensors, smartphones, and wearables have become integral to daily life, powering smart appli...|https://arxiv.org/abs/2502.11644v1|Yes
Query 2: Data Replication & RPO Management|2507.11773v1|Maren Hackenberg; Sophia G. Connor; Fabian Kabus|Small Data Explainer -- The impact of small data methods in everyday life|2025|130|The emergence of breakthrough artificial intelligence (AI) techniques has led to a renewed focus on how small data settings, i.e., settings with limit...|https://arxiv.org/abs/2507.11773v1|Yes
Query 2: Data Replication & RPO Management|2508.04901v2|Prabhav Singh; Jessica Sorrell|Sensitivity of Stability: Theoretical &amp; Empirical Analysis of Replicability for Adaptive Data Selection in Transfer Learning|2025|130|The widespread adoption of transfer learning has revolutionized machine learning by enabling efficient adaptation of pre-trained models to new domains...|https://arxiv.org/abs/2508.04901v2|Yes
Query 2: Data Replication & RPO Management|2504.18160v1|Mathieu Petitbois; Rémy Portelas; Sylvain Lamprier|Offline Learning of Controllable Diverse Behaviors|2025|130|Imitation Learning (IL) techniques aim to replicate human behaviors in specific tasks. While IL has gained prominence due to its effectiveness and eff...|https://arxiv.org/abs/2504.18160v1|Yes
Query 2: Data Replication & RPO Management|2504.03778v1|Stefano Cirillo; Domenico Desiato; Giuseppe Polese|Augmenting Anonymized Data with AI: Exploring the Feasibility and Limitations of Large Language Models in Data Enrichment|2025|130|Large Language Models (LLMs) have demonstrated advanced capabilities in both text generation and comprehension, and their application to data archives...|https://arxiv.org/abs/2504.03778v1|Yes
Query 2: Data Replication & RPO Management|2504.14105v1|Qazi Mamunur Rashid; Erin van Liemt; Tiffany Shih|Amplify Initiative: Building A Localized Data Platform for Globalized AI|2025|130|Current AI models often fail to account for local context and language, given the predominance of English and Western internet content in their traini...|https://arxiv.org/abs/2504.14105v1|Yes
Query 2: Data Replication & RPO Management|2502.00265v3|Marcos Martinez-Romero; Matthew Horridge; Nilesh Mistry|RADx Data Hub: A Cloud Platform for FAIR, Harmonized COVID-19 Data|2025|130|The COVID-19 pandemic highlighted the urgent need for robust systems to enable rapid data collection, integration, and analysis for public health resp...|https://arxiv.org/abs/2502.00265v3|Yes
Query 2: Data Replication & RPO Management|2505.20777v1|Zhehan Kan; Yanlin Liu; Kun Yin|TACO: Think-Answer Consistency for Optimized Long-Chain Reasoning and Efficient Data Learning via Reinforcement Learning in LVLMs|2025|130|DeepSeek R1 has significantly advanced complex reasoning for large language models (LLMs). While recent methods have attempted to replicate R1's reaso...|https://arxiv.org/abs/2505.20777v1|Yes
Query 2: Data Replication & RPO Management|2507.10275v1|Efrem Amanuel Data; Daniel Izuikedinachi Okoh; Emmanuel Daudi Sulungu|Investigating the Reliability of the AfriTEC Model During the Descending Phase of Solar Cycle 24 Across East Africa|2025|130|This study investigates the reliability of the African Regional Ionospheric Total Electron Content (AfriTEC) model during the descending phase of Sola...|https://arxiv.org/abs/2507.10275v1|Yes
Query 2: Data Replication & RPO Management|2510.26046v1|Pengfei Lyu; Zhengchi Ma; Linjun Zhang|Bias-Corrected Data Synthesis for Imbalanced Learning|2025|130|Imbalanced data, where the positive samples represent only a small proportion compared to the negative samples, makes it challenging for classificatio...|https://arxiv.org/abs/2510.26046v1|Yes
Query 2: Data Replication & RPO Management|2508.14936v1|Jan Kapar; Kathrin Günther; Lori Ann Vallis|Can synthetic data reproduce real-world findings in epidemiology? A replication study using tree-based generative AI|2025|130|Generative artificial intelligence for synthetic data generation holds substantial potential to address practical challenges in epidemiology. However,...|https://arxiv.org/abs/2508.14936v1|Yes
Query 2: Data Replication & RPO Management|2510.21391v1|Datao Tang; Hao Wang; Yudeng Xin|TerraGen: A Unified Multi-Task Layout Generation Framework for Remote Sensing Data Augmentation|2025|100|Remote sensing vision tasks require extensive labeled data across multiple, interconnected domains. However, current generative data augmentation fram...|https://arxiv.org/abs/2510.21391v1|Yes
Query 2: Data Replication & RPO Management|2411.15497v3|Datao Tang; Xiangyong Cao; Xuan Wu|AeroGen: Enhancing Remote Sensing Object Detection with Diffusion-Driven Data Generation|2024|100|Remote sensing image object detection (RSIOD) aims to identify and locate specific objects within satellite or aerial imagery. However, there is a sca...|https://arxiv.org/abs/2411.15497v3|Yes
Query 2: Data Replication & RPO Management|2508.20335v1|Sang Su Lee; Vineeth Loganathan; Vijay Raghavan|Dynamic Synthetic Controls vs. Panel-Aware Double Machine Learning for Geo-Level Marketing Impact Estimation|2025|100|Accurately quantifying geo-level marketing lift in two-sided marketplaces is challenging: the Synthetic Control Method (SCM) often exhibits high power...|https://arxiv.org/abs/2508.20335v1|Yes
Query 2: Data Replication & RPO Management|2402.13911v1|Mostafa Esmaeilzadeh; Melika Amirzadeh|Replication Study: Enhancing Hydrological Modeling with Physics-Guided Machine Learning|2024|100|Current hydrological modeling methods combine data-driven Machine Learning (ML) algorithms and traditional physics-based models to address their respe...|https://arxiv.org/abs/2402.13911v1|Yes
Query 2: Data Replication & RPO Management|2509.08660v2|Eric Eaton; Marcel Hussing; Michael Kearns|Replicable Reinforcement Learning with Linear Function Approximation|2025|100|Replication of experimental results has been a challenge faced by many scientific disciplines, including the field of machine learning. Recent work on...|https://arxiv.org/abs/2509.08660v2|Yes
Query 3: Smart Backup Systems with AI|2510.13330v1|Bridget Smart; Max Ward; Matthew Roughan|A faster algorithm for efficient longest common substring calculation for non-parametric entropy estimation in sequential data|2025|130|Non-parametric entropy estimation on sequential data is a fundamental tool in signal processing, capturing information flow within or between processe...|https://arxiv.org/abs/2510.13330v1|Yes
Query 3: Smart Backup Systems with AI|2505.18755v1|Xiaolu Chen; Chenghao Huang; Yanru Zhang|Smart Energy Guardian: A Hybrid Deep Learning Model for Detecting Fraudulent PV Generation|2025|130|With the proliferation of smart grids, smart cities face growing challenges due to cyber-attacks and sophisticated electricity theft behaviors, partic...|https://arxiv.org/abs/2505.18755v1|Yes
Query 3: Smart Backup Systems with AI|2508.12181v1|Ayman W. Baharia; Khaled T. Naga; Hesham S. Abdelfattah|CAN Networks Security in Smart Grids Communication Technologies|2025|130|The rapid evolution of smart grids requires effective communication protocols to transfer data reliably and securely. Controller Area Network (CAN) is...|https://arxiv.org/abs/2508.12181v1|Yes
Query 3: Smart Backup Systems with AI|2511.00094v1|Angelos Alexopoulos; Agorakis Bompotas; Nikitas Rigas Kalogeropoulos|Digital Twin based Automatic Reconfiguration of Robotic Systems in Smart Environments|2025|130|Robotic systems have become integral to smart environments, enabling applications ranging from urban surveillance and automated agriculture to industr...|https://arxiv.org/abs/2511.00094v1|Yes
Query 3: Smart Backup Systems with AI|2510.26989v1|Agorakis Bompotas; Konstantinos Koutras; Nikitas Rigas Kalogeropoulos|SUSTAINABLE Platform: Seamless Smart Farming Integration Towards Agronomy Automation|2025|130|The global agricultural sector is undergoing a transformative shift, driven by increasing food demands, climate variability and the need for sustainab...|https://arxiv.org/abs/2510.26989v1|Yes
Query 3: Smart Backup Systems with AI|2504.14162v1|Kosuke Higuchi; Ryotaro Kobayashi|ROFBS$α$: Real Time Backup System Decoupled from ML Based Ransomware Detection|2025|130|This study introduces ROFBS$α$, a new defense architecture that addresses delays in detection in ransomware detectors based on machine learning. It bu...|https://arxiv.org/abs/2504.14162v1|Yes
Query 3: Smart Backup Systems with AI|2506.22468v1|Konstantinos Koutras; Agorakis Bompotas; Constantinos Halkiopoulos|Dimensionality Reduction on IoT Monitoring Data of Smart Building for Energy Consumption Forecasting|2025|100|The Internet of Things (IoT) plays a major role today in smart building infrastructures, from simple smart-home applications, to more sophisticated in...|https://arxiv.org/abs/2506.22468v1|Yes
Query 3: Smart Backup Systems with AI|2502.09270v1|Nikola Pascher; Jochen Wulf|Design Principles for Architectures of Technical Smart Service Systems|2025|100|Successful smart services require seamless integration into existing corporate systems and an interdisciplinary approach that aligns the development o...|https://arxiv.org/abs/2502.09270v1|Yes
Query 3: Smart Backup Systems with AI|2511.19165v1|Fabian Schramm; Nicolas Perrin-Gilbert; Justin Carpentier|First-order Sobolev Reinforcement Learning|2025|100|We propose a refinement of temporal-difference learning that enforces first-order Bellman consistency: the learned value function is trained to match ...|https://arxiv.org/abs/2511.19165v1|Yes
Query 3: Smart Backup Systems with AI|2501.17889v1|Xiaochen Zhang; Yunfeng Cai; Haoyi Xiong|Knoop: Practical Enhancement of Knockoff with Over-Parameterization for Variable Selection|2025|100|Variable selection plays a crucial role in enhancing modeling effectiveness across diverse fields, addressing the challenges posed by high-dimensional...|https://arxiv.org/abs/2501.17889v1|Yes
Query 3: Smart Backup Systems with AI|2502.04329v1|Junjie Ye; David Paz; Hengyuan Zhang|SMART: Advancing Scalable Map Priors for Driving Topology Reasoning|2025|100|Topology reasoning is crucial for autonomous driving as it enables comprehensive understanding of connectivity and relationships between lanes and tra...|https://arxiv.org/abs/2502.04329v1|Yes
Query 3: Smart Backup Systems with AI|2501.01105v1|Grant Ruan; Munther A. Dahleh|Temperature-Controlled Smart Charging for Electric Vehicles in Cold Climates|2025|100|The battery performance and lifespan of electric vehicles (EVs) degrade significantly in cold climates, requiring a considerable amount of energy to h...|https://arxiv.org/abs/2501.01105v1|Yes
Query 3: Smart Backup Systems with AI|2507.12267v1|Filippo Marchesani|Orchestrating the Implementation of the Smart City|2025|100|This chapter explores the six core dimensions of smart cities (i.e. smart economy, mobility, environment, people, living, and governance) emphasizing ...|https://arxiv.org/abs/2507.12267v1|Yes
Query 3: Smart Backup Systems with AI|2410.10929v7|Christofel Rio Goenawan|ASTM :Autonomous Smart Traffic Management System Using Artificial Intelligence CNN and LSTM|2024|100|In the modern world, the development of Artificial Intelligence (AI) has contributed to improvements in various areas, including automation, computer ...|https://arxiv.org/abs/2410.10929v7|Yes
Query 3: Smart Backup Systems with AI|2410.22012v1|Georgios Mylonas; Athanasios Kalogeras; Sobah Abbas Petersen|When Circular Economy Meets the Smart City Ecosystem: Defining the Smart and Circular City|2024|70|Smart cities have been a very active research area in the past 20 years, while continuously adapting to new technological advancements and keeping up ...|https://arxiv.org/abs/2410.22012v1|Yes
Query 4: Incremental Backup Optimization|2505.14821v1|Runze Zhao; Yue Yu; Adams Yiyue Zhu|Sample and Computationally Efficient Continuous-Time Reinforcement Learning with General Function Approximation|2025|130|Continuous-time reinforcement learning (CTRL) provides a principled framework for sequential decision-making in environments where interactions evolve...|https://arxiv.org/abs/2505.14821v1|Yes
Query 4: Incremental Backup Optimization|2507.07969v3|Qiyang Li; Zhiyuan Zhou; Sergey Levine|Reinforcement Learning with Action Chunking|2025|130|We present Q-chunking, a simple yet effective recipe for improving reinforcement learning (RL) algorithms for long-horizon, sparse-reward tasks. Our r...|https://arxiv.org/abs/2507.07969v3|Yes
Query 4: Incremental Backup Optimization|2511.13762v1|Jiaxin Qi; Yan Cui; Jianqiang Huang|Gene Incremental Learning for Single-Cell Transcriptomics|2025|130|Classes, as fundamental elements of Computer Vision, have been extensively studied within incremental learning frameworks. In contrast, tokens, which ...|https://arxiv.org/abs/2511.13762v1|Yes
Query 4: Incremental Backup Optimization|2503.12193v1|S Balasubramanian; Yedu Krishna P; Talasu Sai Sriram|S2IL: Structurally Stable Incremental Learning|2025|130|Feature Distillation (FD) strategies are proven to be effective in mitigating Catastrophic Forgetting (CF) seen in Class Incremental Learning (CIL). H...|https://arxiv.org/abs/2503.12193v1|Yes
Query 4: Incremental Backup Optimization|2402.01262v3|Jary Pomponi; Alessio Devoto; Simone Scardapane|Class incremental learning with probability dampening and cascaded gated classifier|2024|100|Humans are capable of acquiring new knowledge and transferring learned knowledge into different domains, incurring a small forgetting. The same abilit...|https://arxiv.org/abs/2402.01262v3|Yes
Query 4: Incremental Backup Optimization|2409.05655v3|Markus Knauer; Alin Albu-Schäffer; Freek Stulp|Interactive incremental learning of generalizable skills with local trajectory modulation|2024|100|The problem of generalization in learning from demonstration (LfD) has received considerable attention over the years, particularly within the context...|https://arxiv.org/abs/2409.05655v3|Yes
Query 4: Incremental Backup Optimization|2404.03200v2|Quentin Jodelet; Xin Liu; Yin Jun Phua|Future-Proofing Class-Incremental Learning|2024|100|Exemplar-Free Class Incremental Learning is a highly challenging setting where replay memory is unavailable. Methods relying on frozen feature extract...|https://arxiv.org/abs/2404.03200v2|Yes
Query 4: Incremental Backup Optimization|2404.02572v2|Kleanthis Malialis; Jin Li; Christos G. Panayiotou|Incremental Learning with Concept Drift Detection and Prototype-based Embeddings for Graph Stream Classification|2024|70|Data stream mining aims at extracting meaningful knowledge from continually evolving data streams, addressing the challenges posed by nonstationary en...|https://arxiv.org/abs/2404.02572v2|Yes
Query 4: Incremental Backup Optimization|2406.11686v2|Noah Golowich; Ankur Moitra|The Role of Inherent Bellman Error in Offline Reinforcement Learning with Linear Function Approximation|2024|70|In this paper, we study the offline RL problem with linear function approximation. Our main structural assumption is that the MDP has low inherent Bel...|https://arxiv.org/abs/2406.11686v2|Yes
Query 4: Incremental Backup Optimization|2412.01580v1|Thomas Chaffey; Andrey Kharitenko; Fulvio Forni|A homotopy theorem for incremental stability|2024|70|A theorem is proved to verify incremental stability of a feedback system via a homotopy from a known incrementally stable system. A first corollary of...|https://arxiv.org/abs/2412.01580v1|Yes
Query 4: Incremental Backup Optimization|2404.06733v1|Jessica Y. Bo; Pan Hao; Brian Y. Lim|Incremental XAI: Memorable Understanding of AI with Incremental Explanations|2024|70|Many explainable AI (XAI) techniques strive for interpretability by providing concise salient information, such as sparse linear factors. However, use...|https://arxiv.org/abs/2404.06733v1|Yes
Query 4: Incremental Backup Optimization|2402.02782v1|Ana Ezquerro; Carlos Gómez-Rodríguez; David Vilares|From Partial to Strictly Incremental Constituent Parsing|2024|70|We study incremental constituent parsers to assess their capacity to output trees based on prefix representations alone. Guided by strictly left-to-ri...|https://arxiv.org/abs/2402.02782v1|Yes
Query 4: Incremental Backup Optimization|2404.17679v1|Dan Olteanu|Recent Increments in Incremental View Maintenance|2024|70|We overview recent progress on the longstanding problem of incremental view maintenance (IVM), with a focus on the fine-grained complexity and optimal...|https://arxiv.org/abs/2404.17679v1|Yes
Query 4: Incremental Backup Optimization|2409.10956v1|Min-Yeong Park; Jae-Ho Lee; Gyeong-Moon Park|Versatile Incremental Learning: Towards Class and Domain-Agnostic Incremental Learning|2024|70|Incremental Learning (IL) aims to accumulate knowledge from sequential input tasks while overcoming catastrophic forgetting. Existing IL methods typic...|https://arxiv.org/abs/2409.10956v1|Yes
Query 4: Incremental Backup Optimization|1906.01120v3|Jathushan Rajasegaran; Munawar Hayat; Salman Khan|An Adaptive Random Path Selection Approach for Incremental Learning|2019|60|In a conventional supervised learning setting, a machine learning model has access to examples of all object classes that are desired to be recognized...|https://arxiv.org/abs/1906.01120v3|Yes
Query 5: RPO Optimization Strategies|2509.19861v1|Alba Maria Marmol-Romero; Manuel Garcia-Vega; Miguel Angel Garcia-Cumbreras|SINAI at eRisk@CLEF 2025: Transformer-Based and Conversational Strategies for Depression Detection|2025|130|This paper describes the participation of the SINAI-UJA team in the eRisk@CLEF 2025 lab. Specifically, we addressed two of the proposed tasks: (i) Tas...|https://arxiv.org/abs/2509.19861v1|Yes
Query 5: RPO Optimization Strategies|2511.05396v1|Yiting He; Zhishuai Liu; Weixin Wang|Sample Complexity of Distributionally Robust Off-Dynamics Reinforcement Learning with Online Interaction|2025|130|Off-dynamics reinforcement learning (RL), where training and deployment transition dynamics are different, can be formulated as learning in a robust M...|https://arxiv.org/abs/2511.05396v1|Yes
Query 5: RPO Optimization Strategies|2509.09529v1|Shangqing Shi; Luoxiao Zhang; Yuchen Yin|A modified RIME algorithm with covariance learning and diversity enhancement for numerical optimization|2025|130|Metaheuristics are widely applied for their ability to provide more efficient solutions. The RIME algorithm is a recently proposed physical-based meta...|https://arxiv.org/abs/2509.09529v1|Yes
Query 5: RPO Optimization Strategies|2510.12934v2|Alex Gower|Learning at the Speed of Physics: Equilibrium Propagation on Oscillator Ising Machines|2025|130|Physical systems that naturally perform energy descent offer a direct route to accelerating machine learning. Oscillator Ising Machines (OIMs) exempli...|https://arxiv.org/abs/2510.12934v2|Yes
Query 5: RPO Optimization Strategies|2502.07409v5|Anh-Tien Nguyen; Duy Minh Ho Nguyen; Nghiem Tuong Diep|MGPATH: Vision-Language Model with Multi-Granular Prompt Learning for Few-Shot WSI Classification|2025|130|Whole slide pathology image classification presents challenges due to gigapixel image sizes and limited annotation labels, hindering model generalizat...|https://arxiv.org/abs/2502.07409v5|Yes
Query 5: RPO Optimization Strategies|2507.11764v1|Matteo Fasulo; Luca Babboni; Luca Tedeschini|AI Wizards at CheckThat! 2025: Enhancing Transformer-Based Embeddings with Sentiment for Subjectivity Detection in News Articles|2025|130|This paper presents AI Wizards' participation in the CLEF 2025 CheckThat! Lab Task 1: Subjectivity Detection in News Articles, classifying sentences a...|https://arxiv.org/abs/2507.11764v1|Yes
Query 5: RPO Optimization Strategies|2508.18831v1|Yosuke Yamagishi; Shouhei Hanaoka|Automated Classification of Normal and Atypical Mitotic Figures Using ConvNeXt V2: MIDOG 2025 Track 2|2025|130|This paper presents our solution for the MIDOG 2025 Challenge Track 2, which focuses on binary classification of normal mitotic figures (NMFs) versus ...|https://arxiv.org/abs/2508.18831v1|Yes
Query 5: RPO Optimization Strategies|2502.04121v3|Sagi Meir; Tommer D. Keidar; Shlomi Reuveni|First-Passage Approach to Optimizing Perturbations for Improved Training of Machine Learning Models|2025|130|Machine learning models have become indispensable tools in applications across the physical sciences. Their training is often time-consuming, vastly e...|https://arxiv.org/abs/2502.04121v3|Yes
Query 5: RPO Optimization Strategies|2512.19527v1|Diego Hitzges; Guillaume Sagnol|Deep Learning for Unrelated-Machines Scheduling: Handling Variable Dimensions|2025|130|Deep learning has been effectively applied to many discrete optimization problems. However, learning-based scheduling on unrelated parallel machines r...|https://arxiv.org/abs/2512.19527v1|Yes
