ArXiv_ID,Title,Published_Date,Filename,Size_MB
2510.25802v1,Attention Augmented GNN RNN-Attention Models for Advanced Cybersecurity Intrusion Detection,2025-10-29 03:47:02+00:00,2510_25802v1_Attention Augmented GNN RNN-Attention Models for Advanced Cybersecurity Intrusion Detection.pdf,0.29
2511.00460v1,Proactive DDoS Detection and Mitigation in Decentralized Software-Defined Networking via Port-Level Monitoring and Zero-Training Large Language Models,2025-11-01 08:57:29+00:00,2511_00460v1_Proactive DDoS Detection and Mitigation in Decentralized Software-Defined Networking via Port-Level .pdf,2.00
2511.00828v1,Towards Ultra-Low Latency: Binarized Neural Network Architectures for In-Vehicle Network Intrusion Detection,2025-11-02 06:47:56+00:00,2511_00828v1_Towards Ultra-Low Latency_ Binarized Neural Network Architectures for In-Vehicle Network Intrusion D.pdf,0.56
2511.03799v1,Temporal Analysis Framework for Intrusion Detection Systems: A Novel Taxonomy for Time-Aware Cybersecurity,2025-11-05 19:03:40+00:00,2511_03799v1_Temporal Analysis Framework for Intrusion Detection Systems_ A Novel Taxonomy for Time-Aware Cyberse.pdf,1.55
2511.04114v1,Automated and Explainable Denial of Service Analysis for AI-Driven Intrusion Detection Systems,2025-11-06 07:01:38+00:00,2511_04114v1_Automated and Explainable Denial of Service Analysis for AI-Driven Intrusion Detection Systems.pdf,0.72
2511.06212v1,RAG-targeted Adversarial Attack on LLM-based Threat Detection and Mitigation Framework,2025-11-09 03:50:17+00:00,2511_06212v1_RAG-targeted Adversarial Attack on LLM-based Threat Detection and Mitigation Framework.pdf,1.82
2511.07793v1,HybridGuard: Enhancing Minority-Class Intrusion Detection in Dew-Enabled Edge-of-Things Networks,2025-11-11 03:19:25+00:00,2511_07793v1_HybridGuard_ Enhancing Minority-Class Intrusion Detection in Dew-Enabled Edge-of-Things Networks.pdf,1.57
2511.08660v1,Binary and Multiclass Cyberattack Classification on GeNIS Dataset,2025-11-11 15:46:14+00:00,2511_08660v1_Binary and Multiclass Cyberattack Classification on GeNIS Dataset.pdf,0.31
2511.09266v1,SecTracer: A Framework for Uncovering the Root Causes of Network Intrusions via Security Provenance,2025-11-12 12:25:36+00:00,2511_09266v1_SecTracer_ A Framework for Uncovering the Root Causes of Network Intrusions via Security Provenance.pdf,3.94
2511.12766v1,"Cybersecurity of High-Altitude Platform Stations: Threat Taxonomy, Attacks and Defenses with Standards Mapping - DDoS Attack Use Case",2025-11-16 20:28:58+00:00,"2511_12766v1_Cybersecurity of High-Altitude Platform Stations_ Threat Taxonomy, Attacks and Defenses with Standar.pdf",3.72
2511.12774v1,Distributed Pulse-Wave Simulator for DDoS Dataset Generation,2025-11-16 20:56:55+00:00,2511_12774v1_Distributed Pulse-Wave Simulator for DDoS Dataset Generation.pdf,2.08
2511.17978v1,Federated Anomaly Detection and Mitigation for EV Charging Forecasting Under Cyberattacks,2025-11-22 08:41:58+00:00,2511_17978v1_Federated Anomaly Detection and Mitigation for EV Charging Forecasting Under Cyberattacks.pdf,0.55
2511.18240v1,Carbon-Aware Intrusion Detection: A Comparative Study of Supervised and Unsupervised DRL for Sustainable IoT Edge Gateways,2025-11-23 00:59:27+00:00,2511_18240v1_Carbon-Aware Intrusion Detection_ A Comparative Study of Supervised and Unsupervised DRL for Sustain.pdf,6.77
2512.00251v1,SD-CGAN: Conditional Sinkhorn Divergence GAN for DDoS Anomaly Detection in IoT Networks,2025-11-28 23:57:51+00:00,2512_00251v1_SD-CGAN_ Conditional Sinkhorn Divergence GAN for DDoS Anomaly Detection in IoT Networks.pdf,1.12
2512.01365v1,Modeling Wavelet Transformed Quantum Support Vector for Network Intrusion Detection,2025-12-01 07:23:20+00:00,2512_01365v1_Modeling Wavelet Transformed Quantum Support Vector for Network Intrusion Detection.pdf,12.68
2512.04855v1,A Novel Trust-Based DDoS Cyberattack Detection Model for Smart Business Environments,2025-12-04 14:37:55+00:00,2512_04855v1_A Novel Trust-Based DDoS Cyberattack Detection Model for Smart Business Environments.pdf,0.98
2512.05069v1,Hybrid Quantum-Classical Autoencoders for Unsupervised Network Intrusion Detection,2025-12-04 18:29:05+00:00,2512_05069v1_Hybrid Quantum-Classical Autoencoders for Unsupervised Network Intrusion Detection.pdf,1.70
2512.07909v1,Agentic Artificial Intelligence for Ethical Cybersecurity in Uganda: A Reinforcement Learning Framework for Threat Detection in Resource-Constrained Environments,2025-12-08 05:44:25+00:00,2512_07909v1_Agentic Artificial Intelligence for Ethical Cybersecurity in Uganda_ A Reinforcement Learning Framew.pdf,4.41
2512.08885v1,Explainable Anomaly Detection for Industrial IoT Data Streams,2025-12-09 18:20:35+00:00,2512_08885v1_Explainable Anomaly Detection for Industrial IoT Data Streams.pdf,2.50
2512.09883v1,ByteShield: Adversarially Robust End-to-End Malware Detection through Byte Masking,2025-12-10 18:13:28+00:00,2512_09883v1_ByteShield_ Adversarially Robust End-to-End Malware Detection through Byte Masking.pdf,1.21
