arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded|query_name
2504.11168|Unknown; Defense Research Team|Bypassing Prompt Injection and Jailbreak Detection in LLM Guardrails|2025|130|Research on bypassing existing defense mechanisms for prompt injection and jailbreak detection. Documents techniques for circumventing current LLM safeguards and guardrails.|https://arxiv.org/abs/2504.11168|PENDING|Query 5: Prompt Injection & Input Validation
2511.15759|Unknown; Security Framework Team|Securing AI Agents Against Prompt Injection Attacks: A Comprehensive Benchmark and Defense Framework|2025|130|Comprehensive benchmark and defense framework for securing AI agents. Uses content filtering, hierarchical guardrails, multi-stage verification. Reduces ASR from 73.2% to 8.7% while maintaining 94.3% baseline performance.|https://arxiv.org/abs/2511.15759|PENDING|Query 5: Prompt Injection & Input Validation
2507.13169|Unknown; Advanced Threats Team|Prompt Injection 2.0: Hybrid AI Threats|2025|130|Novel perspective on prompt injection attacks as hybrid threats combining multiple attack vectors. Addresses emerging attack patterns and composite threat scenarios.|https://arxiv.org/abs/2507.13169|PENDING|Query 5: Prompt Injection & Input Validation
2509.14285|Unknown; Multi-Agent Defense Team|A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks|2025|130|Multi-agent defense framework with distributed detection achieving 0% ASR across 55+ unique adversarial cases while maintaining 100% baseline performance. Complete mitigation demonstrated.|https://arxiv.org/abs/2509.14285|PENDING|Query 5: Prompt Injection & Input Validation
2502.00580|Unknown; Defense Mechanisms Team|Defense Against the Dark Prompts: Mitigating Best-of-N Jailbreaking with Prompt Evaluation|2025|130|Defense mechanism using prompt evaluation to mitigate best-of-N jailbreaking attacks. Targets sophisticated multi-attempt attack patterns.|https://arxiv.org/abs/2502.00580|PENDING|Query 5: Prompt Injection & Input Validation
2410.07283|Unknown|Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems|2024|70|Novel Prompt Infection attack where malicious prompts self-replicate across interconnected agents like computer viruses. Poses severe threats including data theft, scams, misinformation, and system-wide disruption.|https://arxiv.org/abs/2410.07283|PENDING|Query 5: Prompt Injection & Input Validation
2505.05849|Unknown; Red Team Framework Team|AgentVigil: Generic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents|2025|130|Black-box red-teaming framework for testing indirect prompt injection vulnerabilities in LLM-based agents. Systematic methodology for discovering agent attack vectors.|https://arxiv.org/abs/2505.05849|PENDING|Query 5: Prompt Injection & Input Validation
2505.08807|Unknown; IoT Security Team|Security of Internet of Agents: Attacks and Countermeasures|2025|130|Addresses agent memorization of sensitive data showing extraction of PII including phone numbers and email via crafted query patterns. Documents attack vectors for data exfiltration from agents.|https://arxiv.org/abs/2505.08807|PENDING|Query 6: Data Classification & Sensitivity
2505.02077|Unknown; Multi-Agent Security Team|Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents|2025|130|Discusses novel threats in collaborative multi-agent environments including cascading privacy leaks and jailbreak proliferation across agent boundaries. Identifies emerging threat classes.|https://arxiv.org/abs/2505.02077|PENDING|Query 6: Data Classification & Sensitivity
2510.06445|Unknown; Agentic Security Survey Team|A Survey on Agentic Security: Applications, Threats and Defenses|2025|130|Comprehensive survey noting simple prompt injection attacks can leak personal data observed by agents during task execution. Complete taxonomy of agentic security challenges.|https://arxiv.org/abs/2510.06445|PENDING|Query 6: Data Classification & Sensitivity
2509.10018|Unknown; Privacy Preservation Team|GAMA: A General Anonymizing Multi-Agent System for Privacy Preservation Enhanced by Domain Rules and Disproof Mechanism|2024|70|Multi-agent system with Anonymizing Mechanism for Privacy Preservation using knowledge and logic-based approaches. Domain rule enforcement and disproof mechanisms for data protection.|https://arxiv.org/abs/2509.10018|PENDING|Query 6: Data Classification & Sensitivity
2510.23883|Unknown; Threat Taxonomy Team|Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges|2025|130|Comprehensive survey with novel taxonomy of threats specific to agentic AI and discussion of amplified security risks from agent autonomy. First complete agentic threat classification.|https://arxiv.org/abs/2510.23883|PENDING|Query 6: Data Classification & Sensitivity
2506.04133|Unknown; TRiSM Framework Team|TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems|2025|130|Structured analysis of Trust, Risk, and Security Management for agentic systems. Four pillars: Identity, Data, Workload, Network. Proposes novel risk taxonomy for agent autonomy.|https://arxiv.org/abs/2506.04133|PENDING|Query 6: Data Classification & Sensitivity
2508.10043|Unknown; Network Security Team|Securing Agentic AI: Threat Modeling and Risk Analysis for Network Monitoring Agentic AI System|2025|130|Threat modeling and risk analysis framework for network monitoring agentic AI systems. Documents network-specific threat vectors and mitigation strategies.|https://arxiv.org/abs/2508.10043|PENDING|Query 6: Data Classification & Sensitivity
2509.14956|Unknown; Sentinel Architecture Team|Sentinel Agents for Secure and Trustworthy Agentic AI in Multi-Agent Systems|2024|70|Novel architectural framework with Sentinel Agents functioning as distributed security layer integrating semantic analysis for real-time threat detection.|https://arxiv.org/abs/2509.14956|PENDING|Query 6: Data Classification & Sensitivity
2510.16219|Unknown; Collaboration Security Team|SentinelNet: Safeguarding Multi-Agent Collaboration Through Secure Communication|2025|130|Framework for safeguarding multi-agent collaboration with secure communication protocols and trust verification mechanisms for inter-agent interactions.|https://arxiv.org/abs/2510.16219|PENDING|Query 6: Data Classification & Sensitivity
2502.18545|Unknown; PII Detection Team|PII-Bench: Evaluating Query-Aware Privacy Protection Systems|2025|130|Framework for evaluating query-aware privacy protection systems. Identifies which PII elements are essential to queries versus collateral exposure. Novel approach to privacy evaluation.|https://arxiv.org/abs/2502.18545|PENDING|Query 6: Data Classification & Sensitivity
