Query|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded|published_date
Query 11: Policy-as-Code & Governance for AI Agents|2510.26212v1|Yifeng Cai, Ziming Wang, Zhaomeng Deng...|Who Grants the Agent Power? Defending Against Instruction Injection via Task-Centric Access Control|2025|100|AI agents capable of GUI understanding and Model Context Protocol are increasingly deployed to automate mobile tasks. However, their reliance on over-privileged, static permissions creates a critical |http://arxiv.org/abs/2510.26212v1|yes|2025-10-30
Query 11: Policy-as-Code & Governance for AI Agents|2510.24383v1|Juraj Mavračić|Policy Cards: Machine-Readable Runtime Governance for Autonomous AI Agents|2025|100|Policy Cards are introduced as a machine-readable, deployment-layer standard for expressing operational, regulatory, and ethical constraints for AI agents. The Policy Card sits with the agent and enab|http://arxiv.org/abs/2510.24383v1|yes|2025-10-28
Query 11: Policy-as-Code & Governance for AI Agents|2510.21117v2|Agostino Capponi, Alfio Gliozzo, Chunghyun Han...|DAO-AI: Evaluating Collective Decision-Making through Agentic AI in Decentralized Governance|2025|100|This paper presents a first empirical study of agentic AI as autonomous decision-makers in decentralized governance. Using more than 3K proposals from major protocols, we build an agentic AI voter tha|http://arxiv.org/abs/2510.21117v2|yes|2025-10-24
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.13337v1|Si Qi Goh, Yongsen Zheng, Ziyao Liu...|FROC: A Unified Framework with Risk-Optimized Control for Machine Unlearning in LLMs|2025|100|Machine unlearning (MU) seeks to eliminate the influence of specific training examples from deployed models. As large language models (LLMs) become widely used, managing risks arising from insufficien|http://arxiv.org/abs/2512.13337v1|yes|2025-12-15
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.08261v1|Yibowen Zhao, Yinan Zhang, Zhixiang Su...|Beyond Traditional Diagnostics: Transforming Patient-Side Information into Predictive Insights with Knowledge Graphs and Prototypes|2025|100|Predicting diseases solely from patient-side information, such as demographics and self-reported symptoms, has attracted significant research attention due to its potential to enhance patient awarenes|http://arxiv.org/abs/2512.08261v1|yes|2025-12-09
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.08026v1|Caroline N. Leach, Mitchell A. Klusty, Samuel E. Armstrong...|Toward an AI Reasoning-Enabled System for Patient-Clinical Trial Matching|2025|100|Screening patients for clinical trial eligibility remains a manual, time-consuming, and resource-intensive process. We present a secure, scalable proof-of-concept system for Artificial Intelligence (A|http://arxiv.org/abs/2512.08026v1|yes|2025-12-08
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.06781v1|Sima Jafarikhah, Daniel Thompson, Eva Deans...|From Description to Score: Can LLMs Quantify Vulnerabilities?|2025|100|Manual vulnerability scoring, such as assigning Common Vulnerability Scoring System (CVSS) scores, is a resource-intensive process that is often influenced by subjective interpretation. This study inv|http://arxiv.org/abs/2512.06781v1|yes|2025-12-07
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.06659v1|Vaishali Vinay|The Evolution of Agentic AI in Cybersecurity: From Single LLM Reasoners to Multi-Agent Systems and Autonomous Pipelines|2025|100|Cybersecurity has become one of the earliest adopters of agentic AI, as security operations centers increasingly rely on multi-step reasoning, tool-driven analysis, and rapid decision-making under pre|http://arxiv.org/abs/2512.06659v1|yes|2025-12-07
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.06105v1|Junwen Zheng, Xinran Xu, Li Rong Wang...|Explainable Melanoma Diagnosis with Contrastive Learning and LLM-based Report Generation|2025|100|Deep learning has demonstrated expert-level performance in melanoma classification, positioning it as a powerful tool in clinical dermatology. However, model opacity and the lack of interpretability r|http://arxiv.org/abs/2512.06105v1|yes|2025-12-05
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.05908v1|Amirkia Rafiei Oskooei, S. Selcan Yukcu, Mehmet Cevheri Bozoglan...|Natural Language Summarization Enables Multi-Repository Bug Localization by LLMs in Microservice Architectures|2025|130|Bug localization in multi-repository microservice architectures is challenging due to the semantic gap between natural language bug reports and code, LLM context limitations, and the need to first ide|http://arxiv.org/abs/2512.05908v1|yes|2025-12-05
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.05365v1|Zag ElSayed, Craig Erickson, Ernest Pedapati|MCP-AI: Protocol-Driven Intelligence Framework for Autonomous Reasoning in Healthcare|2025|100|Healthcare AI systems have historically faced challenges in merging contextual reasoning, long-term state management, and human-verifiable workflows into a cohesive framework. This paper introduces a |http://arxiv.org/abs/2512.05365v1|yes|2025-12-05
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.05065v2|James Flemings, Ren Yi, Octavian Suciu...|Personalizing Agent Privacy Decisions via Logical Entailment|2025|100|Personal language model-based agents are becoming more widespread for completing tasks on behalf of users; however, this raises serious privacy questions regarding whether these models will appropriat|http://arxiv.org/abs/2512.05065v2|yes|2025-12-04
Query 12: Explainable AI (XAI) in Security Operations & Trust|2512.04841v1|Wei Zhao, Zhe Li, Jun Sun|SoK: a Comprehensive Causality Analysis Framework for Large Language Model Security|2025|100|Large Language Models (LLMs) exhibit remarkable capabilities but remain vulnerable to adversarial manipulations such as jailbreaking, where crafted prompts bypass safety mechanisms. Understanding the |http://arxiv.org/abs/2512.04841v1|yes|2025-12-04
